date,wteq_cm,snwd_cm
1980-07-19,nan,nan
1980-07-20,nan,nan
1980-07-21,nan,nan
1980-07-22,nan,nan
1980-07-23,nan,nan
1980-07-24,nan,nan
1980-07-25,nan,nan
1980-07-26,nan,nan
1980-07-27,nan,nan
1980-07-28,nan,nan
1980-07-29,nan,nan
1980-07-30,nan,nan
1980-07-31,nan,nan
1980-08-01,,0.0
1980-08-02,,0.0
1980-08-03,,0.0
1980-08-04,,0.0
1980-08-05,,0.0
1980-08-06,,0.0
1980-08-07,,0.0
1980-08-08,,0.0
1980-08-09,,0.0
1980-08-10,,0.0
1980-08-11,,0.0
1980-08-12,,0.0
1980-08-13,,0.0
1980-08-14,,0.0
1980-08-15,,0.0
1980-08-16,,0.0
1980-08-17,,0.0
1980-08-18,,0.0
1980-08-19,,0.0
1980-08-20,,0.0
1980-08-21,,0.0
1980-08-22,,0.0
1980-08-23,,0.0
1980-08-24,,0.0
1980-08-25,,0.0
1980-08-26,,0.0
1980-08-27,,0.0
1980-08-28,,0.0
1980-08-29,,0.0
1980-08-30,,0.0
1980-08-31,,0.0
1980-09-01,,0.0
1980-09-02,,0.0
1980-09-03,,0.0
1980-09-04,,0.0
1980-09-05,,0.0
1980-09-06,,0.0
1980-09-07,,0.0
1980-09-08,,0.0
1980-09-09,,0.0
1980-09-10,,0.0
1980-09-11,,0.0
1980-09-12,,0.0
1980-09-13,,0.0
1980-09-14,,0.0
1980-09-15,,0.0
1980-09-16,,0.0
1980-09-17,,0.0
1980-09-18,,0.0
1980-09-19,,0.0
1980-09-20,,0.0
1980-09-21,,0.0
1980-09-22,,0.0
1980-09-23,,0.0
1980-09-24,,0.0
1980-09-25,,0.0
1980-09-26,,0.0
1980-09-27,,0.0
1980-09-28,,0.0
1980-09-29,,0.0
1980-09-30,,0.0
1980-10-01,nan,nan
1980-10-02,nan,nan
1980-10-03,nan,nan
1980-10-04,nan,nan
1980-10-05,nan,nan
1980-10-06,nan,nan
1980-10-07,nan,nan
1980-10-08,nan,nan
1980-10-09,nan,nan
1980-10-10,nan,nan
1980-10-11,nan,nan
1980-10-12,nan,nan
1980-10-13,nan,nan
1980-10-14,nan,nan
1980-10-15,nan,nan
1980-10-16,nan,nan
1980-10-17,nan,nan
1980-10-18,nan,nan
1980-10-19,nan,nan
1980-10-20,nan,nan
1980-10-21,nan,nan
1980-10-22,nan,nan
1980-10-23,nan,nan
1980-10-24,nan,nan
1980-10-25,nan,nan
1980-10-26,nan,nan
1980-10-27,nan,nan
1980-10-28,nan,nan
1980-10-29,nan,nan
1980-10-30,nan,nan
1980-10-31,nan,nan
1980-11-01,nan,nan
1980-11-02,nan,nan
1980-11-03,nan,nan
1980-11-04,nan,nan
1980-11-05,nan,nan
1980-11-06,nan,nan
1980-11-07,nan,nan
1980-11-08,nan,nan
1980-11-09,nan,nan
1980-11-10,nan,nan
1980-11-11,nan,nan
1980-11-12,nan,nan
1980-11-13,nan,nan
1980-11-14,nan,nan
1980-11-15,nan,nan
1980-11-16,nan,nan
1980-11-17,nan,nan
1980-11-18,nan,nan
1980-11-19,nan,nan
1980-11-20,nan,nan
1980-11-21,nan,nan
1980-11-22,nan,nan
1980-11-23,nan,nan
1980-11-24,nan,nan
1980-11-25,nan,nan
1980-11-26,nan,nan
1980-11-27,nan,nan
1980-11-28,nan,nan
1980-11-29,nan,nan
1980-11-30,nan,nan
1980-12-01,nan,nan
1980-12-02,nan,nan
1980-12-03,nan,nan
1980-12-04,nan,nan
1980-12-05,nan,nan
1980-12-06,nan,nan
1980-12-07,nan,nan
1980-12-08,nan,nan
1980-12-09,nan,nan
1980-12-10,nan,nan
1980-12-11,nan,nan
1980-12-12,nan,nan
1980-12-13,nan,nan
1980-12-14,nan,nan
1980-12-15,nan,nan
1980-12-16,nan,nan
1980-12-17,nan,nan
1980-12-18,nan,nan
1980-12-19,nan,nan
1980-12-20,nan,nan
1980-12-21,nan,nan
1980-12-22,nan,nan
1980-12-23,nan,nan
1980-12-24,nan,nan
1980-12-25,nan,nan
1980-12-26,nan,nan
1980-12-27,nan,nan
1980-12-28,nan,nan
1980-12-29,nan,nan
1980-12-30,nan,nan
1980-12-31,nan,nan
1981-01-01,,0.0
1981-01-02,,0.0
1981-01-03,,0.0
1981-01-04,,0.0
1981-01-05,,0.0
1981-01-06,,2.54
1981-01-07,,0.0
1981-01-08,,0.0
1981-01-09,,0.0
1981-01-10,,0.0
1981-01-11,,0.0
1981-01-12,,0.0
1981-01-13,,0.0
1981-01-14,,0.0
1981-01-15,,0.0
1981-01-16,,0.0
1981-01-17,,0.0
1981-01-18,,0.0
1981-01-19,,0.0
1981-01-20,,0.0
1981-01-21,,0.0
1981-01-22,,0.0
1981-01-23,,0.0
1981-01-24,,0.0
1981-01-25,,0.0
1981-01-26,,0.0
1981-01-27,,0.0
1981-01-28,,2.54
1981-01-29,,7.62
1981-01-30,,7.62
1981-01-31,,10.16
1981-02-01,nan,nan
1981-02-02,nan,nan
1981-02-03,nan,nan
1981-02-04,nan,nan
1981-02-05,nan,nan
1981-02-06,nan,nan
1981-02-07,nan,nan
1981-02-08,nan,nan
1981-02-09,nan,nan
1981-02-10,nan,nan
1981-02-11,nan,nan
1981-02-12,nan,nan
1981-02-13,nan,nan
1981-02-14,nan,nan
1981-02-15,nan,nan
1981-02-16,nan,nan
1981-02-17,nan,nan
1981-02-18,nan,nan
1981-02-19,nan,nan
1981-02-20,nan,nan
1981-02-21,nan,nan
1981-02-22,nan,nan
1981-02-23,nan,nan
1981-02-24,nan,nan
1981-02-25,nan,nan
1981-02-26,nan,nan
1981-02-27,nan,nan
1981-02-28,nan,nan
1981-03-01,,0.0
1981-03-02,,0.0
1981-03-03,,15.24
1981-03-04,nan,nan
1981-03-05,nan,nan
1981-03-06,nan,nan
1981-03-07,,0.0
1981-03-08,,0.0
1981-03-09,,0.0
1981-03-10,,0.0
1981-03-11,,0.0
1981-03-12,,0.0
1981-03-13,,0.0
1981-03-14,,0.0
1981-03-15,,0.0
1981-03-16,,0.0
1981-03-17,,0.0
1981-03-18,,2.54
1981-03-19,,0.0
1981-03-20,,2.54
1981-03-21,,10.16
1981-03-22,nan,nan
1981-03-23,nan,nan
1981-03-24,nan,nan
1981-03-25,,0.0
1981-03-26,,0.0
1981-03-27,,0.0
1981-03-28,,0.0
1981-03-29,,0.0
1981-03-30,,2.54
1981-03-31,,0.0
1981-04-01,,0.0
1981-04-02,,0.0
1981-04-03,,5.08
1981-04-04,,0.0
1981-04-05,,0.0
1981-04-06,,0.0
1981-04-07,,0.0
1981-04-08,,0.0
1981-04-09,,0.0
1981-04-10,,0.0
1981-04-11,,0.0
1981-04-12,,0.0
1981-04-13,,0.0
1981-04-14,,0.0
1981-04-15,,0.0
1981-04-16,,0.0
1981-04-17,,0.0
1981-04-18,,0.0
1981-04-19,,0.0
1981-04-20,,0.0
1981-04-21,,0.0
1981-04-22,,0.0
1981-04-23,,0.0
1981-04-24,,0.0
1981-04-25,,0.0
1981-04-26,,0.0
1981-04-27,,0.0
1981-04-28,,0.0
1981-04-29,,0.0
1981-04-30,,0.0
1981-05-01,,0.0
1981-05-02,,0.0
1981-05-03,,0.0
1981-05-04,,0.0
1981-05-05,,0.0
1981-05-06,,0.0
1981-05-07,,0.0
1981-05-08,,0.0
1981-05-09,,0.0
1981-05-10,,0.0
1981-05-11,,0.0
1981-05-12,,0.0
1981-05-13,,0.0
1981-05-14,,0.0
1981-05-15,,0.0
1981-05-16,,0.0
1981-05-17,,0.0
1981-05-18,,0.0
1981-05-19,,0.0
1981-05-20,,0.0
1981-05-21,,0.0
1981-05-22,,0.0
1981-05-23,,0.0
1981-05-24,,0.0
1981-05-25,,0.0
1981-05-26,,0.0
1981-05-27,,0.0
1981-05-28,,0.0
1981-05-29,,0.0
1981-05-30,,0.0
1981-05-31,,0.0
1981-06-01,,0.0
1981-06-02,,0.0
1981-06-03,,0.0
1981-06-04,,0.0
1981-06-05,,0.0
1981-06-06,,0.0
1981-06-07,,0.0
1981-06-08,,0.0
1981-06-09,,0.0
1981-06-10,,0.0
1981-06-11,,0.0
1981-06-12,,0.0
1981-06-13,,0.0
1981-06-14,,0.0
1981-06-15,,0.0
1981-06-16,,0.0
1981-06-17,,0.0
1981-06-18,,0.0
1981-06-19,,0.0
1981-06-20,,0.0
1981-06-21,,0.0
1981-06-22,,0.0
1981-06-23,,0.0
1981-06-24,,0.0
1981-06-25,,0.0
1981-06-26,,0.0
1981-06-27,,0.0
1981-06-28,,0.0
1981-06-29,,0.0
1981-06-30,,0.0
1981-07-01,,0.0
1981-07-02,,0.0
1981-07-03,,0.0
1981-07-04,,0.0
1981-07-05,,0.0
1981-07-06,,0.0
1981-07-07,,0.0
1981-07-08,,0.0
1981-07-09,,0.0
1981-07-10,,0.0
1981-07-11,,0.0
1981-07-12,,0.0
1981-07-13,,0.0
1981-07-14,,0.0
1981-07-15,,0.0
1981-07-16,,0.0
1981-07-17,,0.0
1981-07-18,,0.0
1981-07-19,,0.0
1981-07-20,,0.0
1981-07-21,,0.0
1981-07-22,,0.0
1981-07-23,,0.0
1981-07-24,,0.0
1981-07-25,,0.0
1981-07-26,,0.0
1981-07-27,,0.0
1981-07-28,,0.0
1981-07-29,,0.0
1981-07-30,,0.0
1981-07-31,,0.0
1981-08-01,,0.0
1981-08-02,,0.0
1981-08-03,,0.0
1981-08-04,,0.0
1981-08-05,,0.0
1981-08-06,,0.0
1981-08-07,,0.0
1981-08-08,,0.0
1981-08-09,,0.0
1981-08-10,,0.0
1981-08-11,,0.0
1981-08-12,,0.0
1981-08-13,,0.0
1981-08-14,,0.0
1981-08-15,,0.0
1981-08-16,,0.0
1981-08-17,,0.0
1981-08-18,,0.0
1981-08-19,,0.0
1981-08-20,,0.0
1981-08-21,,0.0
1981-08-22,,0.0
1981-08-23,,0.0
1981-08-24,,0.0
1981-08-25,,0.0
1981-08-26,,0.0
1981-08-27,,0.0
1981-08-28,,0.0
1981-08-29,,0.0
1981-08-30,,0.0
1981-08-31,,0.0
1981-09-01,,0.0
1981-09-02,,0.0
1981-09-03,,0.0
1981-09-04,,0.0
1981-09-05,,0.0
1981-09-06,,0.0
1981-09-07,,0.0
1981-09-08,,0.0
1981-09-09,,0.0
1981-09-10,,0.0
1981-09-11,,0.0
1981-09-12,,0.0
1981-09-13,,0.0
1981-09-14,,0.0
1981-09-15,,0.0
1981-09-16,,0.0
1981-09-17,,0.0
1981-09-18,,0.0
1981-09-19,,0.0
1981-09-20,,0.0
1981-09-21,,0.0
1981-09-22,,0.0
1981-09-23,,0.0
1981-09-24,,0.0
1981-09-25,,0.0
1981-09-26,,0.0
1981-09-27,,0.0
1981-09-28,,0.0
1981-09-29,,0.0
1981-09-30,,0.0
1981-10-01,nan,nan
1981-10-02,nan,nan
1981-10-03,nan,nan
1981-10-04,nan,nan
1981-10-05,nan,nan
1981-10-06,nan,nan
1981-10-07,nan,nan
1981-10-08,nan,nan
1981-10-09,nan,nan
1981-10-10,nan,nan
1981-10-11,nan,nan
1981-10-12,nan,nan
1981-10-13,nan,nan
1981-10-14,nan,nan
1981-10-15,nan,nan
1981-10-16,nan,nan
1981-10-17,nan,nan
1981-10-18,nan,nan
1981-10-19,nan,nan
1981-10-20,nan,nan
1981-10-21,nan,nan
1981-10-22,nan,nan
1981-10-23,nan,nan
1981-10-24,nan,nan
1981-10-25,nan,nan
1981-10-26,nan,nan
1981-10-27,nan,nan
1981-10-28,nan,nan
1981-10-29,nan,nan
1981-10-30,nan,nan
1981-10-31,nan,nan
1981-11-01,nan,nan
1981-11-02,nan,nan
1981-11-03,nan,nan
1981-11-04,nan,nan
1981-11-05,nan,nan
1981-11-06,nan,nan
1981-11-07,nan,nan
1981-11-08,nan,nan
1981-11-09,nan,nan
1981-11-10,nan,nan
1981-11-11,nan,nan
1981-11-12,nan,nan
1981-11-13,nan,nan
1981-11-14,nan,nan
1981-11-15,nan,nan
1981-11-16,nan,nan
1981-11-17,nan,nan
1981-11-18,nan,nan
1981-11-19,nan,nan
1981-11-20,nan,nan
1981-11-21,nan,nan
1981-11-22,nan,nan
1981-11-23,nan,nan
1981-11-24,nan,nan
1981-11-25,nan,nan
1981-11-26,nan,nan
1981-11-27,nan,nan
1981-11-28,nan,nan
1981-11-29,nan,nan
1981-11-30,nan,nan
1981-12-01,,0.0
1981-12-02,,0.0
1981-12-03,,0.0
1981-12-04,,0.0
1981-12-05,,0.0
1981-12-06,,0.0
1981-12-07,,0.0
1981-12-08,,0.0
1981-12-09,,0.0
1981-12-10,,0.0
1981-12-11,,0.0
1981-12-12,,0.0
1981-12-13,,0.0
1981-12-14,,0.0
1981-12-15,,0.0
1981-12-16,,0.0
1981-12-17,,0.0
1981-12-18,,0.0
1981-12-19,,0.0
1981-12-20,,0.0
1981-12-21,,0.0
1981-12-22,,2.54
1981-12-23,,0.0
1981-12-24,,0.0
1981-12-25,,2.54
1981-12-26,,2.54
1981-12-27,,0.0
1981-12-28,,0.0
1981-12-29,,7.62
1981-12-30,,7.62
1981-12-31,,7.62
1982-01-01,,0.0
1982-01-02,,0.0
1982-01-03,,0.0
1982-01-04,,0.0
1982-01-05,,0.0
1982-01-06,,0.0
1982-01-07,,0.0
1982-01-08,,0.0
1982-01-09,,0.0
1982-01-10,,0.0
1982-01-11,,0.0
1982-01-12,,0.0
1982-01-13,,0.0
1982-01-14,,0.0
1982-01-15,,0.0
1982-01-16,,0.0
1982-01-17,,0.0
1982-01-18,,0.0
1982-01-19,,0.0
1982-01-20,,0.0
1982-01-21,,0.0
1982-01-22,,0.0
1982-01-23,,0.0
1982-01-24,,0.0
1982-01-25,,0.0
1982-01-26,,0.0
1982-01-27,,0.0
1982-01-28,,0.0
1982-01-29,,0.0
1982-01-30,,0.0
1982-01-31,,0.0
1982-02-01,nan,nan
1982-02-02,nan,nan
1982-02-03,nan,nan
1982-02-04,nan,nan
1982-02-05,nan,nan
1982-02-06,nan,nan
1982-02-07,nan,nan
1982-02-08,nan,nan
1982-02-09,nan,nan
1982-02-10,nan,nan
1982-02-11,nan,nan
1982-02-12,nan,nan
1982-02-13,nan,nan
1982-02-14,nan,nan
1982-02-15,nan,nan
1982-02-16,nan,nan
1982-02-17,nan,nan
1982-02-18,nan,nan
1982-02-19,nan,nan
1982-02-20,nan,nan
1982-02-21,nan,nan
1982-02-22,nan,nan
1982-02-23,nan,nan
1982-02-24,nan,nan
1982-02-25,nan,nan
1982-02-26,nan,nan
1982-02-27,nan,nan
1982-02-28,,0.0
1982-03-01,nan,nan
1982-03-02,nan,nan
1982-03-03,nan,nan
1982-03-04,nan,nan
1982-03-05,nan,nan
1982-03-06,nan,nan
1982-03-07,nan,nan
1982-03-08,nan,nan
1982-03-09,nan,nan
1982-03-10,nan,nan
1982-03-11,nan,nan
1982-03-12,nan,nan
1982-03-13,nan,nan
1982-03-14,nan,nan
1982-03-15,nan,nan
1982-03-16,nan,nan
1982-03-17,nan,nan
1982-03-18,nan,nan
1982-03-19,nan,nan
1982-03-20,nan,nan
1982-03-21,nan,nan
1982-03-22,nan,nan
1982-03-23,nan,nan
1982-03-24,nan,nan
1982-03-25,nan,nan
1982-03-26,nan,nan
1982-03-27,nan,nan
1982-03-28,nan,nan
1982-03-29,nan,nan
1982-03-30,nan,nan
1982-03-31,,0.0
1982-04-01,,0.0
1982-04-02,,7.62
1982-04-03,,0.0
1982-04-04,,0.0
1982-04-05,,0.0
1982-04-06,,0.0
1982-04-07,,0.0
1982-04-08,,0.0
1982-04-09,,0.0
1982-04-10,,0.0
1982-04-11,,0.0
1982-04-12,,0.0
1982-04-13,,0.0
1982-04-14,,0.0
1982-04-15,,0.0
1982-04-16,,0.0
1982-04-17,,0.0
1982-04-18,,0.0
1982-04-19,,0.0
1982-04-20,,0.0
1982-04-21,,0.0
1982-04-22,,0.0
1982-04-23,,0.0
1982-04-24,,0.0
1982-04-25,,0.0
1982-04-26,,0.0
1982-04-27,,0.0
1982-04-28,,0.0
1982-04-29,,0.0
1982-04-30,,0.0
1982-05-01,,0.0
1982-05-02,,0.0
1982-05-03,,0.0
1982-05-04,,0.0
1982-05-05,,0.0
1982-05-06,,0.0
1982-05-07,,0.0
1982-05-08,,0.0
1982-05-09,,0.0
1982-05-10,,0.0
1982-05-11,,0.0
1982-05-12,,0.0
1982-05-13,,0.0
1982-05-14,,0.0
1982-05-15,,0.0
1982-05-16,,0.0
1982-05-17,,0.0
1982-05-18,,0.0
1982-05-19,,0.0
1982-05-20,,0.0
1982-05-21,,0.0
1982-05-22,,0.0
1982-05-23,,0.0
1982-05-24,,0.0
1982-05-25,,0.0
1982-05-26,,0.0
1982-05-27,,0.0
1982-05-28,,0.0
1982-05-29,,0.0
1982-05-30,,0.0
1982-05-31,,0.0
1982-06-01,,0.0
1982-06-02,,0.0
1982-06-03,,0.0
1982-06-04,,0.0
1982-06-05,,0.0
1982-06-06,,0.0
1982-06-07,,0.0
1982-06-08,,0.0
1982-06-09,,0.0
1982-06-10,,0.0
1982-06-11,,0.0
1982-06-12,,0.0
1982-06-13,,0.0
1982-06-14,,0.0
1982-06-15,,0.0
1982-06-16,,0.0
1982-06-17,,0.0
1982-06-18,,0.0
1982-06-19,,0.0
1982-06-20,,0.0
1982-06-21,,0.0
1982-06-22,,0.0
1982-06-23,,0.0
1982-06-24,,0.0
1982-06-25,,0.0
1982-06-26,,0.0
1982-06-27,,0.0
1982-06-28,,0.0
1982-06-29,,0.0
1982-06-30,,0.0
1982-07-01,,0.0
1982-07-02,,0.0
1982-07-03,,0.0
1982-07-04,,0.0
1982-07-05,,0.0
1982-07-06,,0.0
1982-07-07,,0.0
1982-07-08,,0.0
1982-07-09,,0.0
1982-07-10,,0.0
1982-07-11,,0.0
1982-07-12,,0.0
1982-07-13,,0.0
1982-07-14,,0.0
1982-07-15,,0.0
1982-07-16,,0.0
1982-07-17,,0.0
1982-07-18,,0.0
1982-07-19,,0.0
1982-07-20,,0.0
1982-07-21,,0.0
1982-07-22,,0.0
1982-07-23,,0.0
1982-07-24,,0.0
1982-07-25,,0.0
1982-07-26,,0.0
1982-07-27,,0.0
1982-07-28,,0.0
1982-07-29,,0.0
1982-07-30,,0.0
1982-07-31,,0.0
1982-08-01,,0.0
1982-08-02,,0.0
1982-08-03,,0.0
1982-08-04,,0.0
1982-08-05,,0.0
1982-08-06,,0.0
1982-08-07,,0.0
1982-08-08,,0.0
1982-08-09,,0.0
1982-08-10,,0.0
1982-08-11,,0.0
1982-08-12,,0.0
1982-08-13,,0.0
1982-08-14,,0.0
1982-08-15,,0.0
1982-08-16,,0.0
1982-08-17,,0.0
1982-08-18,,0.0
1982-08-19,,0.0
1982-08-20,,0.0
1982-08-21,,0.0
1982-08-22,,0.0
1982-08-23,,0.0
1982-08-24,,0.0
1982-08-25,,0.0
1982-08-26,,0.0
1982-08-27,,0.0
1982-08-28,,0.0
1982-08-29,,0.0
1982-08-30,,0.0
1982-08-31,,0.0
1982-09-01,,0.0
1982-09-02,,0.0
1982-09-03,,0.0
1982-09-04,,0.0
1982-09-05,,0.0
1982-09-06,,0.0
1982-09-07,,0.0
1982-09-08,,0.0
1982-09-09,,0.0
1982-09-10,,0.0
1982-09-11,,0.0
1982-09-12,,0.0
1982-09-13,nan,nan
1982-09-14,,2.54
1982-09-15,,0.0
1982-09-16,,0.0
1982-09-17,,0.0
1982-09-18,,0.0
1982-09-19,,0.0
1982-09-20,,0.0
1982-09-21,,0.0
1982-09-22,,0.0
1982-09-23,,0.0
1982-09-24,,0.0
1982-09-25,,0.0
1982-09-26,,0.0
1982-09-27,,0.0
1982-09-28,,2.54
1982-09-29,nan,nan
1982-09-30,nan,nan
1982-10-01,,0.0
1982-10-02,,0.0
1982-10-03,,0.0
1982-10-04,,0.0
1982-10-05,,0.0
1982-10-06,,0.0
1982-10-07,,0.0
1982-10-08,,0.0
1982-10-09,,0.0
1982-10-10,,0.0
1982-10-11,,0.0
1982-10-12,,0.0
1982-10-13,,0.0
1982-10-14,,0.0
1982-10-15,,0.0
1982-10-16,,0.0
1982-10-17,,0.0
1982-10-18,,0.0
1982-10-19,,0.0
1982-10-20,,0.0
1982-10-21,,0.0
1982-10-22,,0.0
1982-10-23,,0.0
1982-10-24,nan,nan
1982-10-25,nan,nan
1982-10-26,nan,nan
1982-10-27,nan,nan
1982-10-28,nan,nan
1982-10-29,nan,nan
1982-10-30,nan,nan
1982-10-31,nan,nan
1982-11-01,,0.0
1982-11-02,,0.0
1982-11-03,,0.0
1982-11-04,,0.0
1982-11-05,,0.0
1982-11-06,,0.0
1982-11-07,,0.0
1982-11-08,,0.0
1982-11-09,,0.0
1982-11-10,,2.54
1982-11-11,,0.0
1982-11-12,,0.0
1982-11-13,,0.0
1982-11-14,,0.0
1982-11-15,,0.0
1982-11-16,,0.0
1982-11-17,,0.0
1982-11-18,,0.0
1982-11-19,,5.08
1982-11-20,,5.08
1982-11-21,,7.62
1982-11-22,,7.62
1982-11-23,nan,nan
1982-11-24,nan,nan
1982-11-25,nan,nan
1982-11-26,nan,nan
1982-11-27,nan,nan
1982-11-28,nan,nan
1982-11-29,nan,nan
1982-11-30,,17.78
1982-12-01,nan,nan
1982-12-02,,17.78
1982-12-03,nan,nan
1982-12-04,nan,nan
1982-12-05,nan,nan
1982-12-06,,17.78
1982-12-07,nan,nan
1982-12-08,nan,nan
1982-12-09,nan,nan
1982-12-10,nan,nan
1982-12-11,nan,nan
1982-12-12,nan,nan
1982-12-13,nan,nan
1982-12-14,,20.32
1982-12-15,nan,nan
1982-12-16,nan,nan
1982-12-17,nan,nan
1982-12-18,nan,nan
1982-12-19,nan,nan
1982-12-20,nan,nan
1982-12-21,nan,nan
1982-12-22,,15.24
1982-12-23,nan,nan
1982-12-24,,25.4
1982-12-25,nan,nan
1982-12-26,nan,nan
1982-12-27,nan,nan
1982-12-28,nan,nan
1982-12-29,nan,nan
1982-12-30,nan,nan
1982-12-31,nan,nan
1983-01-01,nan,nan
1983-01-02,nan,nan
1983-01-03,nan,nan
1983-01-04,nan,nan
1983-01-05,nan,nan
1983-01-06,nan,nan
1983-01-07,nan,nan
1983-01-08,nan,nan
1983-01-09,nan,nan
1983-01-10,nan,nan
1983-01-11,nan,nan
1983-01-12,nan,nan
1983-01-13,nan,nan
1983-01-14,nan,nan
1983-01-15,nan,nan
1983-01-16,nan,nan
1983-01-17,nan,nan
1983-01-18,nan,nan
1983-01-19,nan,nan
1983-01-20,nan,nan
1983-01-21,nan,nan
1983-01-22,nan,nan
1983-01-23,,7.62
1983-01-24,,7.62
1983-01-25,,10.16
1983-01-26,nan,nan
1983-01-27,nan,nan
1983-01-28,nan,nan
1983-01-29,nan,nan
1983-01-30,,15.24
1983-01-31,,17.78
1983-02-01,,0.0
1983-02-02,nan,nan
1983-02-03,,10.16
1983-02-04,nan,nan
1983-02-05,nan,nan
1983-02-06,nan,nan
1983-02-07,,12.7
1983-02-08,,12.7
1983-02-09,,15.24
1983-02-10,nan,nan
1983-02-11,nan,nan
1983-02-12,nan,nan
1983-02-13,nan,nan
1983-02-14,,30.48
1983-02-15,,33.02
1983-02-16,nan,nan
1983-02-17,nan,nan
1983-02-18,nan,nan
1983-02-19,nan,nan
1983-02-20,nan,nan
1983-02-21,nan,nan
1983-02-22,nan,nan
1983-02-23,nan,nan
1983-02-24,nan,nan
1983-02-25,nan,nan
1983-02-26,nan,nan
1983-02-27,nan,nan
1983-02-28,nan,nan
1983-03-01,nan,nan
1983-03-02,nan,nan
1983-03-03,nan,nan
1983-03-04,nan,nan
1983-03-05,nan,nan
1983-03-06,nan,nan
1983-03-07,nan,nan
1983-03-08,nan,nan
1983-03-09,nan,nan
1983-03-10,nan,nan
1983-03-11,nan,nan
1983-03-12,nan,nan
1983-03-13,nan,nan
1983-03-14,nan,nan
1983-03-15,nan,nan
1983-03-16,nan,nan
1983-03-17,nan,nan
1983-03-18,nan,nan
1983-03-19,nan,nan
1983-03-20,nan,nan
1983-03-21,nan,nan
1983-03-22,nan,nan
1983-03-23,nan,nan
1983-03-24,nan,nan
1983-03-25,nan,nan
1983-03-26,,40.64
1983-03-27,nan,nan
1983-03-28,,20.32
1983-03-29,nan,nan
1983-03-30,nan,nan
1983-03-31,,5.08
1983-04-01,,0.0
1983-04-02,,0.0
1983-04-03,,0.0
1983-04-04,,0.0
1983-04-05,,0.0
1983-04-06,,0.0
1983-04-07,,0.0
1983-04-08,,0.0
1983-04-09,,0.0
1983-04-10,,0.0
1983-04-11,,0.0
1983-04-12,,0.0
1983-04-13,,0.0
1983-04-14,,0.0
1983-04-15,,0.0
1983-04-16,,0.0
1983-04-17,,0.0
1983-04-18,,0.0
1983-04-19,,0.0
1983-04-20,,0.0
1983-04-21,,0.0
1983-04-22,,0.0
1983-04-23,,0.0
1983-04-24,,0.0
1983-04-25,,0.0
1983-04-26,,0.0
1983-04-27,,0.0
1983-04-28,,0.0
1983-04-29,,0.0
1983-04-30,,0.0
1983-05-01,,0.0
1983-05-02,,0.0
1983-05-03,,0.0
1983-05-04,,0.0
1983-05-05,,0.0
1983-05-06,,0.0
1983-05-07,,0.0
1983-05-08,,0.0
1983-05-09,,0.0
1983-05-10,,0.0
1983-05-11,,0.0
1983-05-12,,2.54
1983-05-13,,0.0
1983-05-14,,0.0
1983-05-15,,0.0
1983-05-16,,2.54
1983-05-17,,0.0
1983-05-18,,0.0
1983-05-19,,0.0
1983-05-20,,0.0
1983-05-21,,0.0
1983-05-22,,0.0
1983-05-23,,0.0
1983-05-24,,0.0
1983-05-25,,0.0
1983-05-26,,0.0
1983-05-27,,0.0
